id,item_group_id,title,description,availability,condition,price,link,image_link,brand
FR_B0D1XM7GRW_bacd229a74,FR_B0D1XM7GRW,法国 iphone 15手机壳 (FR),coque iphone 15 silicone No Review,in stock,new,0.00 EUR,https://amzn.to/4prWWMi,https://m.media-amazon.com/images/I/712i0x5Va9L._AC_SX425_.jpg,ORETech EU
FR_B0D1XW2MDY_373205b015,FR_B0D1XW2MDY,法国iphone 15Plus手机壳 (FR),coque iphone 15 plus No Review,in stock,new,0.00 EUR,https://amzn.to/3LViYIW,https://m.media-amazon.com/images/I/712i0x5Va9L._AC_SX425_.jpg,ORETech EU
FR_B0DCFX852B_0fc52f2bbb,FR_B0DCFX852B,法国 iPhone 16手机壳 (FR),coque iphone 16 oretech Need Text Review,in stock,new,0.00 EUR,https://amzn.to/484BLdj,https://m.media-amazon.com/images/I/81JtaAETIXL._AC_SY355_.jpg,ORETech EU
FR_B0DCFX852B_1a4dc9563f,FR_B0DCFX852B,法国 iPhone 16手机壳 (FR),coque iphone 16 oretech No Review,in stock,new,0.00 EUR,https://amzn.to/48ph9vf,https://m.media-amazon.com/images/I/81JtaAETIXL._AC_SY355_.jpg,ORETech EU
FR_B0DCG12F1K_7b0668926d,FR_B0DCG12F1K,法国 iPhone 16 Pro Max 手机壳 (FR),oretech coque pour 16 pro max Need Text Review,in stock,new,0.00 EUR,https://amzn.to/3XQGLw2,https://m.media-amazon.com/images/I/81Kcx9O6rYL._AC_SY355_.jpg,ORETech EU
FR_B0DCG12F1K_fcf0187c3f,FR_B0DCG12F1K,法国 iPhone 16 Pro Max 手机壳 (FR),oretech coque pour 16 pro max No Review,in stock,new,0.00 EUR,https://amzn.to/49Cn0Q9,https://m.media-amazon.com/images/I/81Kcx9O6rYL._AC_SY355_.jpg,ORETech EU
FR_B0DCG2KX4N_4d541c5484,FR_B0DCG2KX4N,法国 iPhone 16 Pro 手机壳 (FR),oretech coque pour 16 pro No Review,in stock,new,0.00 EUR,https://amzn.to/4oijTjO,https://m.media-amazon.com/images/I/81AZa9hKelL._AC_SY355_.jpg,ORETech EU
FR_B0FL237K86_b3946b7c03,FR_B0FL237K86,法国驱赶器 (FR),Répulsif Chat Ultrason Need Text Review,in stock,new,0.00 EUR,https://amzn.to/4alxmUV,https://m.media-amazon.com/images/I/71mKtZSv2pL._AC_SX679_.jpg,PeoGugr
FR_B0FMRQ1PR1_07c5dd687f,FR_B0FMRQ1PR1,法国地钉 (FR),Répulsif à Taupes Solaire Need Text Review,in stock,new,0.00 EUR,https://amzn.to/4ogak5f,https://m.media-amazon.com/images/I/711q3wCOAPL._AC_SX569_.jpg,ShoMoZ Store
FR_B0FQ54YRR4_5ff4c2acff,FR_B0FQ54YRR4,法国驱蚊器 (FR),Répulsif Ultrason Anti Moustiqueé Need Text Review,in stock,new,0.00 EUR,https://amzn.to/49Jwx81,https://m.media-amazon.com/images/I/61OAZRKfjIL._AC_SX679_.jpg,Vansufo Store
