id,item_group_id,title,description,availability,condition,price,link,image_link,brand
US_1337675927_d6f33c2f0c,US_1337675927,(US)🇺🇸美国沃尔玛红光面膜,"Keyword: Red Light Mask
Store: Morfone Official
remark: Need Text Review",in stock,new,0.00 USD,https://www.walmart.com/ip/seort/13376759273,http://154.48.226.28:5001/image/20260123/8953792fad404420a91cb73b79e5cb10.png,Morfone Official
US_1923915972_7372cdaa03,US_1923915972,(US)🇺🇸美国沃尔玛幼犬垫,"Keyword: Puppy Pads
Store: MDFOR PET
remark: Need Text Review",in stock,new,15.00 USD,https://www.walmart.com/ip/Sunypet-Puppy-Pads-Disposable-Dog-Potty-Training-Pads-Quick-Dry-Ultra-Absorbent-L-23-x23-200ct/19239159729,https://i5.walmartimages.com/seo/Sunypet-Puppy-Pads-Disposable-Dog-Potty-Training-Pads-Quick-Dry-Ultra-Absorbent-L-23-x23-200ct_5909e582-80a0-4017-a211-2d0a4631efaf.b4a627cbd7e6e7f1c93f0b7b0f1993ee.png,MDFOR PET
US_1950780820_ddc7aa9e7f,US_1950780820,(US)🇺🇸美国沃尔玛洗漱用品,"Keyword: Travel Bottles for Toiletries
Store: Morfone Official
remark: Need Text Review",in stock,new,0.00 USD,https://www.walmart.com/ip/seort/19507808204,https://i5.walmartimages.com/seo/Morfone-4-in-1-Squeeze-Bottles-Spray-Bottle-Set-Travel-Bottles-for-Toiletries-TSA-Approved-Travel-Containers_2a62ab90-50c7-4781-b5d3-3af7d835173a.f5ea2a2d8a811f3c36b29576c020b909.jpeg,Morfone Official
US_1999926711_9a1493565a,US_1999926711,(US)🇺🇸美国沃尔玛热压机,"Keyword: mini heat press
Store: FOIRRG
remark: Need Text Review",in stock,new,20.00 USD,https://www.walmart.com/ip/Reelexia-Portable-Heat-Press-Machine-7-5-x-4-75-Mini-Heat-Press-with-Smart-LCD-Display-and-Auto-Shut-Off-for-DIY-T-Shirts-and-Bags-Green/19999267118,https://i5.walmartimages.com/seo/Reelexia-Portable-Heat-Press-Machine-7-5-x-4-75-Mini-Heat-Press-with-Smart-LCD-Display-and-Auto-Shut-Off-for-DIY-T-Shirts-and-Bags-Green_a498dd7b-c792-45a5-bf96-06da1842c1a3.e13fa6bf59fd3d38af5a03062548e4d4.jpeg,FOIRRG
US_2004007189_4104481c40,US_2004007189,(US)🇺🇸美国沃尔玛散热支架,"Keyword: Laptop Cooling Stand
Store: U Electronics Store
remark: Need Text Review",in stock,new,0.00 USD,https://www.walmart.com/ip/Amzboy-15-6-Laptop-Cooling-Stand-with-Fan-Angle-Adjustable-Heat-Dissipation-Bracket/20040071895?classType=REGULAR&from=/search,https://i5.walmartimages.com/seo/Amzboy-15-6-Laptop-Cooling-Stand-with-Fan-Angle-Adjustable-Heat-Dissipation-Bracket_0b23e363-476b-474b-b8a0-fa17a221b3e9.6422500dbf75e76e7f64392c4ec9dd65.jpeg?,U Electronics Store
US_2006446589_4ed26918d8,US_2006446589,(US)🇺🇸美国沃尔玛散热支架,"Keyword: Laptop Cooling Stand
Store: U Electronics Store
remark: Need Text Review",in stock,new,0.00 USD,https://www.walmart.com/ip/Amzboy-15-6-Laptop-Cooling-Stand-with-Fan-Angle-Adjustable-Heat-Dissipation-Bracket/20064465895?classType=REGULAR&from=/search,https://i5.walmartimages.com/seo/Amzboy-15-6-Laptop-Cooling-Stand-with-Fan-Angle-Adjustable-Heat-Dissipation-Bracket_0b23e363-476b-474b-b8a0-fa17a221b3e9.6422500dbf75e76e7f64392c4ec9dd65.jpeg,U Electronics Store
US_2008555603_ea92b4626a,US_2008555603,(US)🇺🇸美国沃尔玛锻炼,"Keyword: thigh exerciser
Store: TINRIEF US
remark: Need Text Review",in stock,new,0.00 USD,https://www.walmart.com/ip/Thigh-Exerciser-Kegel-Exerciser-Pelvic-Floor-Trainer-Kegel-Trainer-for-Postpartum-Rehabilitation-Trimmer-Inner-Thigh-Thigh-Toner-Workout/20085556038?classType=REGULAR&from=/search,https://i5.walmartimages.com/seo/Thigh-Exerciser-Kegel-Exerciser-Pelvic-Floor-Trainer-Kegel-Trainer-for-Postpartum-Rehabilitation-Trimmer-Inner-Thigh-Thigh-Toner-Workout_84b98194-c7b9-4ba6-95a6-8b8874a30053.780fdd262e5b6a0e67818aa452b182fa.jpeg,TINRIEF US
US_2598569845_bc6526b6a1,US_2598569845,(US)🇺🇸美国tiktok猫玩具图评,"Keyword: Cat tunnel toy set
Store: Tywhoolon
remark: Need Image Review",in stock,new,0.00 USD,https://www.tiktok.com/view/product/1732171106970144970?encode_params=MIIBpgQM9GbDwkaIgc7UGqEiBIIBgrbOoniV1DtZGt96TT3k4vGL-5mLe4HF5aSyn8kbRI5Whz1gzVoTBzqBFYci6EXfdLYyVL63CZ0mxIAxV1qeJEERhT0vBjTWWv8VLbvQs5JVLf2DUhX2Ixqd2bRMmQ3Hhz1UJHrjYbeNa1VpdLm0ZjDRP3t4YQNdFWQTqNuQI1IhSHv5tH2XN9c8NIA449fKgAHW1tKnhsfE6q6t0f2VrvEPc02yarRVNdD4sAnwjoeRGfpepNisEkrd0Rgk__eJ-XKaCcmz1OALuyTBLnNw371iG8ozV4anmxXJ3xgcD70gke4xY1_Z4u51jPgWvskpvDy09MkuDicxjdYv6esLbHSloIxJ9-G_enplyTSBIIzCx_ZogG8Cb-ipqiYxjnRMTWaernPmnR_sAyXpo31CScv65NKGHbPbnLE9ah1LRH7Z-kAkSp-zAuLrzWogxnqrjdCbwrjNnzBkvOj7vheXOTjjEOlk4X52XzsfJa0m6WF1YenlwAfsUlAKfwjfBBiVOq76BBCsc3PNajnMZsR5vsLoPKW3&region=US&locale=zh-CN&source=seller_center&hide_tips=&no-cache=1&e=1,http://154.48.226.28:5001/image/20260131/d6050fe173674dba916888894ecf693f.png,Tywhoolon
US_B08CVRH3ZB_2cdf71bad7,US_B08CVRH3ZB,(US)🇺🇸美国帽子,"Keyword: chemo headwear for women
Store: BAICANG STORE
remark: Need Text Review",in stock,new,0.00 USD,https://amzn.to/4biwdNZ,https://m.media-amazon.com/images/I/71dPV5QX3sL._AC_SX679_.jpg,BAICANG STORE
US_B0CKHPWFB4_7cb66900b8,US_B0CKHPWFB4,(US)🇺🇸美国灯免评feedback,"Keyword: Modern Glass Table Lamp
Store: Bofea
remark: Need Feedback",in stock,new,5.00 USD,https://amzn.to/4vzZJ9P,https://m.media-amazon.com/images/I/51o-U1lSO1L._AC_SY445_SX342_QL70_FMwebp_.jpg,Bofea
US_B0D2ML9LRL_cb605a1015,US_B0D2ML9LRL,(US)🇺🇸美国门牌,"Keyword: custom name wall sign
Store: Lingy Store
remark: Need Text Review",in stock,new,0.00 USD,https://amzn.to/45evN7Y,https://m.media-amazon.com/images/I/61sE+vMQ+SL._AC_SL1200_.jpg,Lingy Store
US_B0D7QMMF9Y_6b6f9f3eb9,US_B0D7QMMF9Y,(US)🇺🇸美国训狗器,"Keyword: Dog Training Collar Shock Collars
Store: E-Hottest",in stock,new,0.00 USD,https://amzn.to/3OHaVRq,https://m.media-amazon.com/images/I/71GlkEay7NL._AC_SX679_.jpg,E-Hottest
US_B0D7QNMBF3_595d1b1e47,US_B0D7QNMBF3,(US)🇺🇸美国训狗器,"Keyword: Dog Training Collar Shock Collars 3dogs
Store: E-Hottest",in stock,new,0.00 USD,https://amzn.to/40BjlMy,https://m.media-amazon.com/images/I/71TcIdZc3SL._AC_SX679_.jpg,E-Hottest
US_B0DD6C46DB_2bf18638ab,US_B0DD6C46DB,(US)🇺🇸美国汽车配件,"Keyword: 799584 Carburetor
Store: JAVENYIMAN-US",in stock,new,0.00 USD,https://amzn.to/4kY4t4g,https://m.media-amazon.com/images/I/81bSsWi96wL._AC_SY450_.jpg,JAVENYIMAN-US
US_B0DP6VN56W_af58f4dd75,US_B0DP6VN56W,(US)🇺🇸美国吊扇免评点星,"Keyword: black ceiling fan with light
Store: Depuley
remark: Need Rating
Size: 52 Inch
Request member buyers to make the purchase
Color: Black 01",in stock,new,5.00 USD,https://amzn.to/3Q6EqwF,https://m.media-amazon.com/images/I/71ocoQPa+zL._AC_SL1500_.jpg,Depuley
US_B0DRCRL1FB_50c6c15188,US_B0DRCRL1FB,(US)🇺🇸美国吊扇灯,"Keyword: flush mount ceiling fan with lights
Store: Depuley
remark: Need Text Review
Size: 52 Inch  Color: Black
Request member buyers to make the purchase",in stock,new,0.00 USD,https://amzn.to/4fZ4Dbn,https://m.media-amazon.com/images/I/714yP2eanUL._AC_SL1500_.jpg,Depuley
US_B0DRCRL1FB_945767cf3d,US_B0DRCRL1FB,(US)🇺🇸美国吊扇灯免评点星,"Keyword: flush mount ceiling fan with lights
Store: Depuley
remark: Need Rating
Size: 52 Inch  Color: Black
Request member buyers to make the purchase",in stock,new,4.00 USD,https://amzn.to/4fZ4Dbn,https://m.media-amazon.com/images/I/714yP2eanUL._AC_SL1500_.jpg,Depuley
US_B0DX1372V4_0fd96741b8,US_B0DX1372V4,(US)🇺🇸美国扳手工具图评,"Keyword: plumbing tools
Store: FeiXingXin
remark: Need Image Review",in stock,new,0.00 USD,https://amzn.to/3MNm8zb,"https://m.media-amazon.com/images/I/716vMCI-HNL._AC_SX679_PIbundle-12,TopRight,0,0_SH20_.jpg",FeiXingXin
US_B0DX1T4B5F_1c3db3a71e,US_B0DX1T4B5F,(US)🇺🇸美国重金属,"Keyword: rockstar costume for kids
Store: FeiXingXin
remark: Need Text Review",in stock,new,0.00 USD,https://amzn.to/4rHQKRE,https://m.media-amazon.com/images/I/7159SgZNxuL._AC_SX679_.jpg,FeiXingXin
US_B0DX1TQ1RH_5615bd84d3,US_B0DX1TQ1RH,(US)🇺🇸美国扳手工具图评,"Keyword: faucet wrench
Store: FeiXingXin
remark: Need Image Review",in stock,new,0.00 USD,https://amzn.to/4bdvIoh,"https://m.media-amazon.com/images/I/71-tLm9vP6L._AC_SX522_PIbundle-8,TopRight,0,0_SH20_.jpg",FeiXingXin
US_B0DYNZYJYQ_79139394d7,US_B0DYNZYJYQ,(US)🇺🇸美国招牌,"Keyword: outdoor signs for business
Store: Lingy Store
remark: Need Text Review",in stock,new,0.00 USD,https://amzn.to/4beNg3k,https://m.media-amazon.com/images/I/51kHAzfqVKL._AC_SL1200_.jpg,Lingy Store
US_B0DZMZBVTQ_4cedd5d4c1,US_B0DZMZBVTQ,(US)🇺🇸美国水凝胶正畸蜡,"Keyword: Orthodontic Wax for Braces
Store: Kaminson",in stock,new,0.00 USD,https://amzn.to/4u0oNWO,https://m.media-amazon.com/images/I/71jpWJ+L9HL._SX679_.jpg,Kaminson
US_B0F244XQJD_027662b153,US_B0F244XQJD,(US)🇺🇸美国二维码标牌,"Keyword: custom business qr code sign
Store: Lingy Store
remark: Need Text Review",in stock,new,0.00 USD,https://amzn.to/3RYkZad,https://m.media-amazon.com/images/I/612JNqy8vZL._AC_SL1500_.jpg,Lingy Store
US_B0F4WY2D7D_ae1ecee59e,US_B0F4WY2D7D,(US)🇺🇸美国牌匾,"Keyword: personalized cloudy acrylic name sign
Store: Lingy Store
remark: Need Text Review",in stock,new,0.00 USD,https://amzn.to/4x9gcCP,https://m.media-amazon.com/images/I/51jTkfe4+QL._SL1500_.jpg,Lingy Store
US_B0FLK162VD_1ea0cea53d,US_B0FLK162VD,(US)🇺🇸美国办公桌铭牌,"Keyword: Name Plate for Desk
Store: Customized acrylic
remark: Need Text Review",in stock,new,0.00 USD,https://amzn.to/4rN7s2e,https://m.media-amazon.com/images/I/7109wzLiK1L._AC_SX679_.jpg,Customized acrylic
US_B0FLK162VD_611d49e293,US_B0FLK162VD,(US)🇺🇸美国办公桌铭牌视频,"Keyword: Name Plate for Desk
Store: Customized acrylic
remark: Need Video Review",in stock,new,0.00 USD,https://amzn.to/4rN7s2e,https://m.media-amazon.com/images/I/7109wzLiK1L._AC_SX679_.jpg,Customized acrylic
US_B0FNMTQHLN_e0982b558a,US_B0FNMTQHLN,(US)🇺🇸美国扳手工具图评,"Keyword: faucet wrench
Store: FeiXingXin
remark: Need Image Review",in stock,new,0.00 USD,https://amzn.to/407oZGb,https://m.media-amazon.com/images/I/71VtPHdZYzL._AC_SX569_.jpg,FeiXingXin
US_B0FQNTTVD5_d4ef7efd50,US_B0FQNTTVD5,(US)🇺🇸美国研磨滚筒,"Keyword: cone loader
Store: Capo Lily
remark: Need Text Review",in stock,new,0.00 USD,https://www.amazon.com/dp/B0FQNTTVD5,https://m.media-amazon.com/images/I/61ay2eQJOdL._AC_SL1500_.jpg,Capo Lily
US_B0FQPMQTK8_393fd99d27,US_B0FQPMQTK8,(US)🇺🇸美国点烟器,"Keyword: cigarette lighter plug
Store: LIPOERA
remark: Need Text Review",in stock,new,0.00 USD,https://amzn.to/3N8CKBy,https://m.media-amazon.com/images/I/61rSJXcHuQL._AC_SL1280_.jpg,LIPOERA
US_B0FS7BLXR8_1ba5e53a7c,US_B0FS7BLXR8,(US)🇺🇸美国烟盒,"Keyword: joint holder、pre roll case
Store: PYRETIC SMART KITS
remark: Need Text Review",in stock,new,0.00 USD,https://amzn.to/49IOwM2,https://m.media-amazon.com/images/I/71t85DVhCWL._SL1500_.jpg,PYRETIC SMART KITS
